CASE,QUESTNNR,MODE,STARTED,DE01,DE02,DE03,DE04,DEMO_4,DEMO_3,DEMO_6,DEMO_5,DEMO_9,DEMO_7,DEMO_7_1,DEMO_8,DEMO_8_1,DEMO_1,DEMO_2,BJC_01,BJC_02,BJC_03,BJC_04,BJC_05,BJC_06,BJC_07,BJC_08,BJC_09,BJC_10,BJC_11,BJC_12,STH_01,STH_02,STH_03,STH_04,STH_05,STH_06,STH_07,STH_08,MNC_01,VBC_01,VBC_02,VBC_03,VBC_04,VBC_05,VBC_06,VBC_07,VBC_08,VC_01,VC_02,group,identity_threat,religious_endorse,ATT_CHECK,BL_01,BL_02,BL_03,BL_04,BL_05,TIME001,TIME002,TIME003,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
350,base,interview,7/4/2020 13:50,1,2,1,1,1,42,23,4,2,1,,6,Banjarmasin,1,6,3,3,3,1,1,1,2,3,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,4,4,65,19,87,,45,36,,9,38,38,19,80,40,30,506,,7/4/2020 13:58,1,0,15,15,0,0,0.99,7
351,base,interview,7/4/2020 13:53,1,2,1,1,2,26,4,4,4,1,,1,,1,5,4,4,6,6,2,2,3,2,2,3,3,1,7,7,6,1,6,1,1,1,1,3,1,1,1,1,1,1,1,7,7,2,-1,-1,4,3,1,2,3,2,29,13,82,,50,,12,8,60,36,9,65,27,17,408,,7/4/2020 13:59,1,0,15,15,0,0,1.35,18
354,base,interview,7/4/2020 13:54,1,2,1,1,1,24,10,4,3,14,,6,Pangakalanbun,1,3,2,3,2,-1,1,3,3,1,1,1,1,1,4,1,7,2,1,1,1,1,2,2,2,1,1,2,2,4,1,6,6,1,1,1,4,4,5,5,4,2,60,11,78,19,55,21,,8,58,41,7,67,22,14,461,,7/4/2020 14:01,1,0,15,15,0,0,1.28,16
359,base,interview,7/4/2020 13:56,1,2,1,1,2,27,30,4,4,2,,2,,1,3,3,3,2,1,1,1,5,2,1,1,1,1,2,5,3,4,1,1,1,1,1,1,1,1,1,1,1,4,1,7,7,4,1,-1,4,5,2,3,2,2,20,15,83,12,43,,14,6,38,33,5,74,22,24,389,,7/4/2020 14:03,1,0,15,15,0,0,1.58,30
362,base,interview,7/4/2020 13:57,1,2,1,1,1,21,3,2,6,1,,5,,1,5,4,4,4,4,4,4,5,4,4,4,5,4,1,1,6,1,4,4,3,1,3,5,4,4,3,3,3,3,3,7,7,2,-1,-1,4,3,3,3,3,3,532,13,120,,138,,59,38,258,75,8,140,54,112,1050,,7/4/2020 14:23,1,0,15,15,0,0,0.54,0
363,base,interview,7/4/2020 13:57,1,2,1,1,1,25,2,4,6,1,,6,Lamongan,1,5,6,4,1,1,2,1,2,1,1,2,1,2,2,2,5,3,1,1,1,1,7,1,1,1,1,1,1,1,1,7,7,1,1,1,4,4,5,4,2,3,11,22,154,95,99,53,,13,93,55,12,83,48,42,780,,7/4/2020 14:10,1,0,15,15,0,0,0.86,9
364,base,interview,7/4/2020 13:58,1,2,1,1,1,26,0,4,2,8,,6,Aceh,1,3,2,2,2,1,1,2,1,2,1,1,1,2,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,3,3,3,3,2,165,17,212,29,92,,56,16,72,81,12,153,29,56,990,,7/4/2020 14:14,1,0,15,15,0,0,0.68,1
370,base,interview,7/4/2020 14:03,1,2,1,1,2,22,15,4,6,2,,3,,1,5,5,3,5,2,4,3,3,6,4,4,4,4,1,2,3,1,1,1,1,1,2,6,1,1,1,1,2,1,2,6,6,2,-1,-1,4,4,4,4,4,4,26,14,109,,70,,27,12,52,48,13,62,28,29,490,,7/4/2020 14:11,1,0,15,15,0,0,1.05,6
376,base,interview,7/4/2020 14:11,1,2,1,1,2,25,4,4,2,1,,6,Kediri,1,5,4,4,3,4,3,3,4,3,3,4,3,3,4,4,5,5,5,4,1,1,6,4,1,2,1,1,1,2,1,7,7,4,1,-1,4,4,2,3,2,2,60,10,115,41,68,,34,10,77,36,6,115,32,16,620,,7/4/2020 14:21,1,0,15,15,0,0,1.05,8
378,base,interview,7/4/2020 14:14,1,2,1,1,1,24,5,4,2,1,,4,,1,6,6,4,6,2,2,4,4,4,3,6,2,4,4,3,4,4,4,2,1,1,5,4,2,1,2,2,1,2,1,7,7,2,-1,-1,4,2,2,3,5,5,51,12,76,,58,,21,9,55,43,6,81,30,55,497,,7/4/2020 14:22,1,0,15,15,0,0,1.1,8
384,base,interview,7/4/2020 14:16,1,2,1,1,2,34,9,4,2,8,,6,Cirebon,1,4,5,5,5,3,3,3,4,5,2,2,2,3,6,3,7,3,5,2,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,3,5,5,3,4,16,9,93,25,49,13,,14,32,50,8,60,44,37,450,,7/4/2020 14:24,1,0,15,15,0,0,1.28,16
385,base,interview,7/4/2020 14:17,1,2,1,1,1,28,15,3,1,1,,6,Denpasar,3,5,6,6,4,6,6,2,3,6,4,6,4,3,1,4,3,2,3,1,1,2,1,2,1,5,2,2,2,3,1,7,7,3,-1,1,4,3,4,4,3,4,45,15,79,,59,35,,15,64,56,9,63,53,49,542,,7/4/2020 14:26,1,0,15,15,0,0,0.89,3
388,base,interview,7/4/2020 14:21,1,2,1,1,2,24,5,4,2,1,,1,,1,6,6,6,6,6,6,7,7,7,6,-1,6,7,6,7,7,5,7,4,1,7,2,6,3,3,3,6,2,4,6,4,4,3,-1,1,4,1,3,3,2,3,79,21,324,,133,28,,25,101,85,19,130,71,61,1077,,7/4/2020 14:39,1,0,15,15,0,0,0.53,0
389,base,interview,7/4/2020 14:22,1,2,1,1,1,32,70,6,3,1,,6,Luar negeri,3,5,5,4,4,4,2,3,5,1,1,1,2,4,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,3,2,2,2,13,16,99,,38,11,,11,51,76,6,119,229,23,495,,7/4/2020 14:33,1,0,15,15,0,0,1.22,18
393,base,interview,7/4/2020 14:32,1,2,1,1,2,32,10,4,2,1,,1,,1,5,7,7,7,4,4,7,4,5,5,4,5,7,6,4,7,4,7,6,1,1,4,7,1,1,1,1,1,1,1,3,3,4,1,-1,4,3,3,3,3,3,23,11,58,7,49,,7,8,72,56,7,92,36,15,441,,7/4/2020 14:39,1,0,15,15,0,0,1.53,39
395,base,interview,7/4/2020 14:35,1,2,1,1,2,24,8,4,2,1,,6,Purbalingga,1,3,2,2,2,2,2,2,2,2,2,1,1,2,3,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,3,3,3,3,3,216,19,173,42,78,30,,17,58,145,10,120,61,48,1017,,7/4/2020 14:52,1,0,15,15,0,0,0.65,0
396,base,interview,7/4/2020 14:39,1,2,1,1,1,26,6,4,2,1,,2,,1,3,4,3,3,3,3,3,2,5,1,5,3,2,2,1,7,2,2,2,2,2,2,7,4,5,2,3,2,4,2,6,5,4,1,-1,4,3,3,4,2,3,236,33,138,59,67,,172,36,88,42,12,116,36,74,766,,7/4/2020 14:57,1,0,15,15,0,0,0.59,0
402,base,interview,7/4/2020 14:41,1,2,1,1,2,32,3,4,4,1,,6,Gresik,2,3,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,6,4,6,1,2,7,7,6,7,7,5,4,7,6,3,3,2,-1,-1,4,2,2,3,2,2,14,16,72,,45,,48,8,49,29,18,75,25,10,409,,7/4/2020 14:48,1,0,15,15,0,0,1.41,26
414,base,interview,7/4/2020 14:47,1,2,1,1,1,26,1,4,2,1,,6,Kediri,3,5,3,3,3,2,2,1,2,2,1,1,1,1,2,2,7,1,2,2,1,1,2,2,2,2,2,2,2,2,2,7,7,4,1,-1,4,5,5,5,5,5,6,35,171,74,81,,57,35,60,55,10,110,295,54,780,,7/4/2020 15:04,1,0,15,15,0,0,0.78,19
420,base,interview,7/4/2020 15:05,1,2,1,1,2,41,13,5,2,1,,6,Sukabumi,2,5,1,2,2,3,2,2,5,2,3,2,2,2,2,2,2,2,2,3,3,2,1,2,1,2,2,2,2,5,2,7,7,3,-1,1,4,3,3,3,3,3,48,8,28,,20,7,,15,38,6,5,123,29,15,342,,7/4/2020 15:10,1,0,15,15,0,0,1.86,66
421,base,interview,7/4/2020 15:05,1,2,1,1,2,28,50,5,6,2,,6,Tangerang,3,5,5,5,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,-1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,5,5,9,8,76,,30,12,,4,26,19,4,65,12,14,279,,7/4/2020 15:09,1,0,15,15,0,0,2.14,62
423,base,interview,7/4/2020 15:11,1,2,1,1,2,30,6,4,4,1,,1,,3,3,3,6,4,3,3,4,3,4,4,3,3,4,3,3,3,2,3,2,2,2,3,4,3,4,4,4,4,4,3,4,4,2,-1,-1,4,3,3,3,3,3,126,14,104,,68,,40,10,65,39,13,120,30,42,671,,7/4/2020 15:22,1,0,15,15,0,0,0.86,2
426,base,interview,7/4/2020 15:19,1,2,1,1,1,28,,5,2,1,,1,,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,4,4,3,22,11,64,,34,9,,6,29,128,6,66,28,55,458,,7/4/2020 15:27,1,0,15,15,0,0,1.46,27
429,base,interview,7/4/2020 15:22,1,2,1,1,1,21,20,2,6,1,,6,Depok,1,5,7,7,7,7,7,7,1,7,7,7,7,7,7,1,7,1,7,7,1,1,7,7,1,6,5,6,5,6,7,2,2,2,-1,-1,4,1,4,4,1,3,14,8,76,,40,,102,10,64,206,20,51,20,72,683,,7/4/2020 15:34,1,0,15,15,0,0,1.16,19
430,base,interview,7/4/2020 15:23,1,2,1,1,1,25,4,4,6,1,,1,,3,2,3,6,7,5,4,5,5,5,4,6,5,7,2,3,6,3,7,5,4,4,5,5,5,5,5,4,5,5,5,4,3,1,1,1,4,3,3,4,3,5,37,14,139,97,116,58,,31,73,48,21,111,57,123,925,,7/4/2020 15:39,1,0,15,15,0,0,0.61,0
432,base,interview,7/4/2020 15:30,1,2,1,1,1,26,5,4,2,1,,6,Tulungagung,1,3,4,4,1,1,-1,1,7,1,7,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,2,-1,-1,4,3,3,4,4,5,24,13,159,,53,,21,20,43,28,9,53,25,34,482,,7/4/2020 15:38,1,0,15,15,0,0,1.17,12
434,base,interview,7/4/2020 15:42,1,2,1,1,1,32,10,4,2,1,,6,Lampung,1,3,6,5,5,5,4,4,5,4,2,1,1,5,1,1,1,1,1,5,1,2,7,4,7,7,4,4,6,6,1,1,1,4,1,-1,4,3,3,5,3,3,57,17,212,42,105,,55,68,92,46,9,284,33,10,1030,,7/4/2020 15:59,1,0,15,15,0,0,0.82,8
435,base,interview,7/4/2020 15:42,1,2,1,1,1,25,10,4,2,1,,2,,2,5,6,3,3,2,1,2,2,1,1,1,1,2,2,1,7,2,1,1,1,1,1,1,1,1,1,2,3,1,1,7,7,3,-1,1,4,4,5,5,4,2,12,9,45,,29,17,,7,30,39,5,55,13,9,270,,7/4/2020 15:47,1,0,15,15,0,0,1.97,50
436,base,interview,7/4/2020 15:46,1,2,1,1,1,20,5,2,6,1,,6,Purworejo,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,5,4,1,1,2,1,1,1,2,2,2,1,1,1,1,1,4,4,4,1,-1,4,2,2,2,2,2,9,9,82,14,40,,18,12,38,44,5,56,19,33,379,,7/4/2020 15:52,1,0,15,15,0,0,1.58,33
437,base,interview,7/4/2020 15:53,1,2,1,1,1,22,1,4,6,16,,2,,1,5,4,3,4,4,4,4,4,4,1,2,7,7,3,7,2,6,4,1,1,1,1,6,1,1,1,1,1,1,1,4,4,1,1,1,4,3,4,5,3,3,11,10,56,18,39,7,,7,83,76,6,194,60,194,598,,7/4/2020 16:05,1,0,15,15,0,0,1.38,30
440,base,interview,7/4/2020 16:01,1,2,1,1,1,18,4,2,6,1,,2,,1,5,4,4,4,4,4,4,4,4,3,2,2,3,3,3,3,4,3,3,1,2,1,2,2,2,2,2,2,2,2,7,7,1,1,1,4,3,3,3,3,3,16,9,91,1995,47,11,,14,37,14,7,77,11,32,397,,7/4/2020 16:41,1,0,15,15,0,0,1.52,31
442,base,interview,7/4/2020 16:05,1,2,1,1,1,29,3,4,6,8,,6,Aceh,1,5,3,4,6,5,4,7,7,4,5,4,3,5,6,1,5,6,7,6,6,5,2,2,4,6,3,7,7,2,6,2,1,1,1,1,4,2,1,4,4,3,85,26,136,55,93,14,,14,217,61,16,207,50,52,1026,,7/4/2020 16:22,1,0,15,15,0,0,0.66,2
443,base,interview,7/4/2020 16:08,1,2,1,1,2,19,30,2,6,1,,2,,1,3,3,4,4,1,4,3,4,5,4,2,1,4,3,5,7,3,3,2,1,1,3,2,1,1,1,2,2,4,4,7,6,1,1,1,4,2,4,4,2,1,12,9,83,39,61,36,,9,55,50,5,55,18,27,459,,7/4/2020 16:15,1,0,15,15,0,0,1.35,20
445,base,interview,7/4/2020 16:11,1,2,1,1,1,23,1.5,4,6,1,,3,,1,3,5,7,6,4,4,6,4,5,1,1,4,7,5,2,7,4,6,6,1,3,1,5,1,4,1,2,1,2,1,6,6,1,1,1,4,4,5,5,3,5,38,69,142,56,194,11,,16,169,94,13,134,37,102,1075,,7/4/2020 16:28,1,0,15,15,0,0,0.67,4
447,base,interview,7/4/2020 16:31,1,2,1,1,2,28,7,3,2,1,,6,Rembang,3,3,4,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,7,7,4,1,-1,4,5,5,5,5,5,188,14,138,74,81,,54,14,203,39,10,127,38,51,1031,,7/4/2020 16:49,1,0,15,15,0,0,0.68,0
451,base,interview,7/4/2020 16:51,1,2,1,1,1,23,8,4,6,5,,2,,1,3,5,5,5,5,5,5,5,5,5,5,6,5,5,7,7,7,7,5,5,3,3,7,7,7,6,7,7,7,5,3,3,3,-1,1,4,3,3,3,3,3,152,10,89,,54,33,,13,50,23,15,75,39,57,610,,7/4/2020 17:02,1,0,15,15,0,0,0.97,8
461,base,interview,7/4/2020 17:43,1,2,1,1,1,30,4,4,6,1,,1,,2,4,7,7,4,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,2,-1,-1,4,3,3,3,1,3,13,8,66,,37,,9,4,37,39,5,84,5,12,319,,7/4/2020 17:48,1,0,15,15,0,0,2.04,68
463,base,interview,7/4/2020 17:58,1,2,1,1,2,35,1.3,4,4,16,,6,Lumajang,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,7,7,7,7,7,7,7,7,7,4,4,2,-1,-1,4,2,2,4,2,3,25,15,200,,61,,50,15,66,74,25,250,105,44,930,,7/4/2020 18:14,1,0,15,15,0,0,0.7,2
469,base,interview,7/4/2020 18:22,1,2,1,1,1,34,14,5,1,6,,6,Tangerang Selatan,1,5,6,6,6,6,6,6,6,6,7,5,5,6,7,7,7,7,7,6,6,5,1,3,6,6,6,6,6,6,6,1,1,3,-1,1,4,2,3,5,2,4,39,11,77,,51,28,,23,68,62,9,121,33,78,600,,7/4/2020 18:32,1,0,15,15,0,0,0.87,3
470,base,interview,7/4/2020 18:24,1,2,1,1,2,38,10,5,4,1,,4,,2,1,4,4,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,5,5,5,2,1,88,8,119,49,85,37,,27,52,55,9,79,19,34,661,,7/4/2020 18:35,1,0,15,15,0,0,0.91,6
472,base,interview,7/4/2020 18:33,1,2,1,1,1,18,1,2,6,1,,1,,1,6,3,3,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,6,5,2,-1,-1,4,5,5,5,2,5,64,13,130,,89,,127,27,58,134,8,99,17,17,686,,7/4/2020 18:46,1,0,15,15,0,0,0.89,7
479,base,interview,7/4/2020 19:51,1,2,1,1,1,49,2,2,2,1,,5,,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,7,5,7,7,7,7,6,6,6,6,6,1,1,4,1,-1,4,1,2,4,1,4,7,14,112,23,81,,37,16,90,66,12,136,74,48,716,,7/4/2020 20:03,1,0,15,15,0,0,0.94,17
480,base,interview,7/4/2020 20:06,1,2,1,1,2,37,8,4,1,1,,4,,1,2,5,5,4,3,1,4,4,4,4,1,2,1,4,1,4,3,3,1,1,1,1,6,1,1,1,1,1,1,1,7,7,4,1,-1,4,4,4,4,4,3,27,14,130,49,76,,35,25,63,86,7,193,35,46,786,,7/4/2020 20:19,1,0,15,15,0,0,0.8,2
484,base,interview,7/4/2020 21:53,1,2,1,1,1,31,40,6,1,1,,6,Swedia,2,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,1,-1,4,5,5,5,3,3,28,8,61,68,53,,46,9,55,48,5,54,15,62,512,,7/4/2020 22:01,1,0,15,15,0,0,1.24,18
488,base,interview,7/5/2020 0:17,1,2,1,1,2,35,11,5,1,1,,6,Lampung,2,1,6,6,6,5,5,5,6,6,5,6,5,6,7,7,7,6,7,6,2,3,5,5,3,3,3,3,3,3,3,6,6,2,-1,-1,4,3,3,3,2,3,24,15,114,,63,,32,11,47,68,9,108,39,11,541,,7/5/2020 0:26,1,0,15,15,0,0,1.13,11
489,base,interview,7/5/2020 0:23,1,2,1,1,1,45,10,4,1,2,,3,,1,5,6,6,6,6,6,6,6,6,2,6,2,6,6,4,7,2,7,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,-1,-1,4,3,4,4,3,4,231,14,91,,109,,34,18,64,63,6,109,63,46,848,,7/5/2020 0:38,1,0,15,15,0,0,0.77,2
492,base,interview,7/5/2020 0:43,1,2,1,1,2,24,3,4,2,1,,6,Kediri,1,5,2,2,2,2,2,2,2,2,2,2,2,1,4,1,7,1,4,6,2,2,2,2,2,2,2,2,2,2,2,6,6,4,1,-1,4,5,5,5,5,5,126,18,108,105,150,,95,93,71,44,7,466,199,64,1299,,7/5/2020 1:09,1,0,15,15,0,0,0.53,1
495,base,interview,7/5/2020 1:02,1,2,1,1,2,37,8,5,1,1,,5,,1,5,2,4,3,2,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,-1,1,4,4,4,4,4,4,155,13,131,,57,105,,15,67,38,12,164,231,74,780,,7/5/2020 1:19,1,0,15,15,0,0,0.66,1
499,base,interview,7/5/2020 1:34,1,2,1,1,2,50,4,4,4,1,,1,,1,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,6,3,5,6,3,6,5,6,4,6,4,4,4,4,4,6,5,1,1,1,4,3,2,3,2,3,16,25,69,26,53,61,,11,43,43,22,138,40,79,626,,7/5/2020 1:45,1,0,15,15,0,0,0.97,10
504,base,interview,7/5/2020 2:19,1,2,1,1,2,22,15,2,6,1,,5,,1,5,5,4,5,2,2,3,4,5,1,1,1,3,5,7,7,2,4,4,2,1,4,2,2,2,2,2,2,2,2,4,4,2,-1,-1,4,3,3,3,3,2,1146,9,143,,74,,36,21,64,58,6,91,14,37,588,,7/5/2020 2:48,1,0,15,15,0,0,0.96,9
505,base,interview,7/5/2020 2:24,1,2,1,1,1,32,9,4,1,6,,6,Jambi,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,5,5,76,13,129,,41,21,,26,41,21,8,148,26,45,595,,7/5/2020 2:34,1,0,15,15,0,0,1.03,9
510,base,interview,7/5/2020 2:40,1,2,1,1,1,28,8,4,2,2,,6,Tangerang,1,6,6,6,6,5,4,4,7,7,3,-1,6,7,7,3,7,7,6,4,3,3,6,5,3,5,3,4,4,4,4,4,4,1,1,1,4,3,3,3,2,3,8,13,111,36,64,21,,16,84,48,9,104,29,45,588,,7/5/2020 2:50,1,0,15,15,0,0,1.06,14
511,base,interview,7/5/2020 2:46,1,2,1,1,1,27,8.5,4,3,1,,1,,2,5,5,5,5,3,3,4,4,4,3,2,2,4,1,1,4,1,2,3,3,1,4,3,5,5,2,3,4,4,2,4,4,4,1,-1,4,3,5,5,5,3,111,15,146,51,86,,25,19,89,67,11,106,25,61,812,,7/5/2020 2:59,1,0,15,15,0,0,0.75,2
514,base,interview,7/5/2020 3:13,1,2,1,1,2,42,5,3,4,1,,6,Pekanbaru,1,5,5,7,4,4,3,1,3,3,1,1,1,1,4,2,7,1,1,1,1,1,7,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,1,1,1,1,1,15,9,63,,78,17,,5,39,24,8,69,28,31,386,,7/5/2020 3:20,1,0,15,15,0,0,1.48,25
521,base,interview,7/5/2020 3:46,1,2,1,1,1,36,8,5,1,1,,4,,1,1,7,7,7,7,7,7,7,7,7,7,7,7,-1,-1,7,-1,-1,7,-1,-1,-1,7,-1,7,-1,7,7,7,-1,7,7,3,-1,1,4,3,3,3,2,3,12,10,40,,86,14,,7,48,32,5,59,67,23,403,,7/5/2020 3:53,1,0,15,15,0,0,1.53,30
528,base,interview,7/5/2020 5:41,1,2,1,1,1,46,15,3,2,1,,6,Pasuruan,1,3,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,6,6,5,7,6,6,4,1,1,1,1,1,1,1,7,7,2,-1,-1,4,2,3,3,3,3,8,8,89,,49,,3,22,81,38,10,92,30,28,458,,7/5/2020 5:49,1,0,15,15,0,0,1.37,57
530,base,interview,7/5/2020 6:04,1,2,1,1,1,34,62,5,2,8,,2,,1,5,2,3,7,3,3,6,6,6,5,3,4,7,2,7,6,2,3,2,1,1,2,4,4,1,1,1,1,1,1,7,7,3,-1,1,4,3,4,4,3,3,12,35,63,,55,24,,14,48,64,14,74,16,20,439,,7/5/2020 6:12,1,0,15,15,0,0,1.25,19
535,base,interview,7/5/2020 6:32,1,2,1,1,2,25,3,4,1,4,,1,,3,5,7,7,6,6,7,7,7,7,6,7,7,6,4,4,6,7,6,1,3,3,4,6,4,4,4,5,5,5,4,5,5,1,1,1,4,1,1,3,1,3,180,19,82,56,57,47,,14,82,37,13,61,16,67,731,,7/5/2020 6:44,1,0,15,15,0,0,0.89,8
546,base,interview,7/5/2020 7:26,1,2,1,1,1,18,5,2,5,2,,2,,4,5,7,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,4,4,4,4,4,4,4,4,4,7,7,1,1,1,4,1,4,5,3,5,912,23,397,65,58,35,,25,81,41,11,98,65,20,954,,7/5/2020 7:57,1,0,15,15,0,0,0.69,3
547,base,interview,7/5/2020 7:45,1,2,1,1,2,32,8,4,2,1,,4,,3,1,3,2,4,1,4,1,1,5,1,1,1,5,1,4,3,1,1,3,1,1,1,4,1,1,1,5,1,1,1,7,7,4,1,-1,4,3,3,3,2,2,34,9,71,22,38,,7,7,37,33,6,66,16,23,369,,7/5/2020 7:51,1,0,15,15,0,0,1.59,35
548,base,interview,7/5/2020 7:48,1,2,1,1,2,21,10,2,6,1,,1,,1,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,6,6,3,-1,1,4,4,4,4,4,4,83,11,122,,72,39,,22,108,37,6,80,38,36,654,,7/5/2020 7:59,1,0,15,15,0,0,0.86,4
554,base,interview,7/5/2020 8:38,1,2,1,1,2,29,10,5,2,1,,6,Sidoarjo,3,5,5,4,7,4,3,4,5,4,5,4,4,5,7,6,7,2,2,3,1,1,1,2,2,2,1,1,2,3,1,7,7,4,1,-1,4,2,2,4,2,3,24,13,4262,94,115,,62,27,77,121,13,231,46,13,933,,7/5/2020 10:03,1,0,15,15,0,0,0.73,7
556,base,interview,7/5/2020 9:10,1,2,1,1,2,32,1,4,4,1,,6,Blitar,1,4,7,6,7,4,4,7,4,7,3,3,3,3,4,2,7,1,2,2,1,1,1,3,1,2,1,4,2,2,1,7,7,4,1,-1,4,2,2,3,2,2,9,10,93,8,46,,7,5,57,37,6,60,29,31,398,,7/5/2020 9:17,1,0,15,15,0,0,1.73,48
557,base,interview,7/5/2020 9:16,1,2,1,1,2,50,15,4,2,1,,6,Sidoarjo,1,5,6,5,6,5,5,5,6,7,6,5,5,6,7,7,7,6,6,6,2,2,6,6,5,5,6,6,6,5,6,5,5,2,-1,-1,4,2,2,3,3,3,12,25,103,,50,,30,13,69,38,16,92,42,16,506,,7/5/2020 9:24,1,0,15,15,0,0,1.15,14
558,base,interview,7/5/2020 9:16,1,2,1,1,2,49,8,4,3,7,,1,,1,5,5,5,6,3,3,3,5,6,6,2,4,6,6,6,6,3,3,6,4,-1,7,7,5,4,4,5,5,5,5,1,1,2,-1,-1,4,2,2,2,2,4,188,24,221,,137,,101,23,263,119,19,196,109,187,1431,,7/5/2020 9:43,1,0,15,15,0,0,0.37,0
564,base,interview,7/5/2020 9:19,1,2,1,1,2,52,4,4,1,1,,1,,4,5,6,4,6,5,5,5,6,6,5,5,3,6,7,7,7,6,7,6,3,6,3,4,4,6,4,3,4,4,3,4,4,1,1,1,4,1,1,3,3,1,197,21,214,58,65,49,,24,110,51,10,107,37,75,1018,,7/5/2020 9:36,1,0,15,15,0,0,0.62,0
565,base,interview,7/5/2020 9:20,1,2,1,1,2,56,25,4,4,1,,1,,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,4,5,6,5,6,7,7,7,7,5,7,7,7,3,3,4,1,-1,4,2,2,4,1,4,2380,26,248,52,86,,131,23,95,236,9,281,7,69,1197,,7/5/2020 10:21,1,0,15,15,0,0,0.65,14
567,base,interview,7/5/2020 9:21,1,2,1,1,2,51,4,4,1,1,,1,,1,1,7,7,7,7,5,5,7,5,7,7,7,5,7,7,5,7,7,1,5,5,7,7,5,7,7,7,7,7,5,1,1,1,1,1,4,1,3,5,1,5,33,29,164,11,137,4,,93,113,76,10,90,61,24,765,,7/5/2020 9:35,1,0,15,15,0,0,1.02,26
571,base,interview,7/5/2020 9:26,1,2,1,1,1,57,5,4,2,11,,6,Kab. pasuruan,1,4,7,7,7,6,5,6,7,6,6,7,7,6,6,5,7,6,7,2,4,4,6,6,5,4,5,6,7,7,7,3,2,2,-1,-1,4,2,2,4,1,3,35,16,98,,77,,50,39,65,43,9,95,38,11,576,,7/5/2020 9:36,1,0,15,15,0,0,1,8
573,base,interview,7/5/2020 9:30,1,2,1,1,1,44,3,2,2,13,,6,Lombok barat,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,7,4,4,1,1,1,7,4,4,4,4,4,4,4,4,4,4,4,1,-1,4,2,3,5,2,2,49,19,90,27,97,,6,15,31,98,39,185,34,7,697,,7/5/2020 9:41,1,0,15,15,0,0,1.16,33
580,base,interview,7/5/2020 9:36,1,2,1,1,2,40,12,5,1,1,,6,Sidoarjo,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,6,5,-1,6,2,1,-1,-1,-1,-1,-1,-1,-1,6,6,3,-1,1,2,5,5,5,5,5,6,12,91,,67,17,,16,64,39,10,124,13,9,468,,7/5/2020 9:44,1,0,15,15,0,0,1.43,39
